  0.2000E-01  0.2000E-01  0.0000E+00  0.0000E+00
  0.2000E-01  0.4000E-01  0.0000E+00  0.0000E+00
  0.2000E-01  0.6000E-01  0.0000E+00  0.0000E+00
  0.2000E-01  0.8000E-01  0.0000E+00  0.0000E+00
  0.2000E-01  0.1000E+00  0.0000E+00  0.0000E+00
  0.2000E-01  0.1200E+00  0.0000E+00  0.0000E+00
  0.2000E-01  0.1400E+00  0.0000E+00  0.0000E+00
  0.2000E-01  0.1600E+00  0.0000E+00  0.0000E+00
  0.2000E-01  0.1800E+00  0.0000E+00  0.0000E+00
  0.2000E-01  0.2000E+00  0.0000E+00  0.0000E+00
  0.2000E-01  0.2200E+00  0.0000E+00  0.0000E+00
  0.2000E-01  0.2400E+00  0.0000E+00  0.0000E+00
  0.2000E-01  0.2600E+00  0.0000E+00  0.0000E+00
  0.2000E-01  0.2800E+00  0.0000E+00  0.0000E+00
  0.2000E-01  0.3000E+00  0.0000E+00  0.0000E+00
  0.2000E-01  0.3200E+00  0.0000E+00  0.0000E+00
  0.2000E-01  0.3400E+00  0.0000E+00  0.0000E+00
  0.2000E-01  0.3600E+00  0.0000E+00  0.0000E+00
  0.2000E-01  0.3800E+00  0.0000E+00  0.0000E+00
  0.2000E-01  0.4000E+00  0.0000E+00  0.0000E+00
  0.2000E-01  0.4200E+00  0.0000E+00  0.0000E+00
  0.2000E-01  0.4400E+00  0.0000E+00  0.0000E+00
  0.2000E-01  0.4600E+00  0.0000E+00  0.0000E+00
  0.2000E-01  0.4800E+00  0.0000E+00  0.0000E+00
  0.2000E-01  0.5000E+00  0.0000E+00  0.0000E+00
  0.2000E-01  0.5200E+00  0.0000E+00  0.0000E+00
  0.2000E-01  0.5400E+00  0.0000E+00  0.0000E+00
  0.2000E-01  0.5600E+00  0.0000E+00  0.0000E+00
  0.2000E-01  0.5800E+00  0.0000E+00  0.0000E+00
  0.2000E-01  0.6000E+00  0.0000E+00  0.0000E+00
  0.2000E-01  0.6200E+00  0.0000E+00  0.0000E+00
  0.2000E-01  0.6400E+00  0.0000E+00  0.0000E+00
